country code	state code	name
US	AL	Alabama
US	AK	Alaska
US	AZ	Arizona
US	AR	Arkansas
US	CA	California
US	CO	Colorado
US	CT	Connecticut
US	DE	Delaware
US	DC	District of Columbia
US	FL	Florida
US	GA	Georgia
US	HI	Hawaii
US	ID	Idaho
US	IL	Illinois
US	IN	Indiana
US	IA	Iowa
US	KS	Kansas
US	KY	Kentucky
US	LA	Louisiana
US	ME	Maine
US	MD	Maryland
US	MA	Massachusetts
US	MI	Michigan
US	MN	Minnesota
US	MS	Mississippi
US	MO	Missouri
US	MT	Montana
US	NE	Nebraska
US	NV	Nevada
US	NH	New Hampshire
US	NJ	New Jersey
US	NM	New Mexico
US	NY	New York
US	NC	North Carolina
US	ND	North Dakota
US	OH	Ohio
US	OK	Oklahoma
US	OR	Oregon
US	PA	Pennsylvania
US	RI	Rhode Island
US	SC	South Carolina
US	SD	South Dakota
US	TN	Tennessee
US	TX	Texas
US	UT	Utah
US	VT	Vermont
US	VA	Virginia
US	WA	Washington
US	WV	West Virginia
US	WI	Wisconsin
US	WY	Wyoming
CA	AB	Alberta
CA	BC	British Columbia
CA	MB	Manitoba
CA	NB	New Brunswick
CA	NF	Newfoundland/Labrador
CA	NT	Northwest Territories
CA	NS	Nova Scotia
CA	NU	Nunavut
CA	ON	Ontario
CA	PE	Prince Edward Island
CA	QC	Quebec
CA	SK	Saskatchewan
CA	YT	Yukon Territory
AS	AC	Australian Capital Territory
AS	NS	New South Wales
AS	NT	Northern Territory
AS	SA	South Australia
AS	TS	Tasmania
AS	WA	Western Australia
AS	QL	Queensland
AS	VI	Victoria
MX	AGS	Aguascalientes
MX	BCA	Baja California
MX	BCS	Baja California Sur
MX	CAM	Campeche
MX	CHI	Chiapas
MX	CHH	Chihuahua
MX	COA	Coahuila
MX	COL	Colima
MX	DIF	Distrito Federal
MX	DGO	Durango
MX	GRO	Guerrero
MX	GTO	Guanajuato
MX	HGO	Hidalgo
MX	JAL	Jalisco
MX	MEX	Mexico
MX	MIC	Michoacan
MX	MOR	Morelos
MX	NAY	Nayarit
MX	NLE	Nuevo Leon
MX	OAX	Oaxaca
MX	PUE	Puebla
MX	QRO	Queretaro
MX	ROO	Quintana Roo
MX	SIN	Sinaloa
MX	SLP	San Luis Potosi
MX	SON	Sonora
MX	TAB	Tabasco
MX	TMP	Tamaulipas
MX	TLA	Tlaxcala
MX	VER	Veracruz
MX	YUC	Yucatan
MX	ZAC	Zacatecas
BR	AC	Acre
BR	AL	Alagoas
BR	AP	Amapa
BR	AM	Amazonas
BR	BA	Bahia
BR	CE	Ceara
BR	DF	Distrito Federal
BR	ES	Espirito Santo
BR	GO	Goias
BR	MA	Maranhao
BR	MT	Mato Grosso
BR	MS	Mato Grosso do Sul
BR	MG	Minas Gerais
BR	PA	Para
BR	PB	Paraiba
BR	PR	Parana
BR	PE	Pernambuco
BR	PI	Piaui
BR	RJ	Rio de Janeiro
BR	RN	Rio Grande do Norte
BR	RS	Rio Grande do Sul
BR	RO	Rondonia
BR	RR	Roraima
BR	SC	Santa Catarina
BR	SP	Sao Paulo
BR	SE	Sergipe
BR	TO	Tocantins
GL	EG	East Greenland
GL	NE	North East Greenland National Park
GL	NG	North Greenland and Disko Bay
GL	QA	Qaanaaq
GL	SG	South Greenland
GL	WG	West Greenland
ID	JV	Java
ID	WK	West Kalimantan
ID	CK	Central Kalimantan
ID	SK	South Kalimantan
ID	EK	East Kalimantan
ID	NT	Nusa Tenggara
ID	BA	Bali
ID	SU	Sulawesi
ID	IJ	Irian Jaya
ID	MA	Maluku
RS	KG	Kaliningrad
RS	MC	Moscow
RS	SM	Samara
RS	YK	Yekaterinburg
RS	OM	Omsk
RS	NV	Novosibirsk
RS	KR	Krasnoyarsk
RS	IK	Irkutsk
RS	YK	Yakutsk
RS	VL	Vladivostok
RS	SK	Sakhalin
RS	MG	Magadan
RS	KC	Kamchatka
RS	AN	Anadyr
