University	Latitude	Longitude,	Country
#United Arab Emirates	24.46	54.36	United Arab Emirates
#Nigeria	9.16	7.18	Nigeria
#Ghana	5.55	-0.25	Ghana
#Pitcairn Islands	-25.06	-130.08	Pitcairn Islands
#Bahrain	26.21	50.56	Bahrain
#Algeria	36.83	3	Algeria
#Niue	-19.01	169.91	Niue
#Jordan	31.95	35.93	Jordan
#Netherlands	52.35	4.9	Netherlands
#Andorra	42.5	1.5	Andorra
#Turkey	39.92	32.83	Turkey
#Madagascar	-18.86	47.5	Madagascar
#West Samoa	-13.8	-171.75	West Samoa
#Turkmenistan	37.96	58.4	Turkmenistan
#Eritrea	15.33	38.96	Eritrea
#Kazakhstan	51.16	71.5	Kazakhstan
#Paraguay	-25.26	-57.66	Paraguay
#Greece	38	23.73	Greece
#Cook Islands	-21.2	159.76	Cook Islands
#Iraq	33.35	44.42	Iraq
#Gambia	13.46	-16.65	Gambia
#Azerbaijan	40.36	49.88	Azerbaijan
#Mali	12.66	-7.98	Mali
#Brunei	4.88	114.93	Brunei
#Thailand	13.73	100.5	Thailand
#Central African Republic	4.38	18.61	Central African Republic
#Guadeloupe	16.16	-61.66	Guadeloupe
#Saint Kitts and Nevis	17.3	-62.71	Saint Kitts and Nevis
#China	39.92	116.43	China
#Lebanon	33.86	35.5	Lebanon
#Serbia	44.83	20.5	Serbia
#Belize	17.21	-88.8	Belize
#Germany	52.53	13.42	Germany
#Deutschland	52.53	13.42	Germany
#FRG	52.53	13.42	Germany
#F_R_G	52.53	13.42	Germany
#BRD	52.53	13.42	Germany
#B_R_D	52.53	13.42	Germany
#GDR	52.53	13.42	Germany
#G_D_R	52.53	13.42	Germany
#DDR	52.53	13.42	Germany
#D_D_R	52.53	13.42	Germany
#Switzerland	46.95	7.43	Switzerland
#Suisse	46.95	7.43	Switzerland
#Guiné-Bissau	11.86	-15.65	Guiné-Bissau
#Kyrgyzstan	42.88	74.76	Kyrgyzstan
#Colombia	4.63	-74.08	Colombia
#Brazil	-15.78	-47.95	Brazil
#Brasil	-15.78	-47.95	Brazil
#Slovakia	48.16	17.16	Slovakia
#Congo	4.23	15.23	Republic of Congo
#Barbados	13.1	-59.61	Barbados
#Belgium	50.83	4.33	Belgium
#Belgique	50.83	4.33	Belgium
#Romania	44.43	26.1	Romania
#Hungary	47.5	19.05	Hungary
#Argentina	-34.67	-58.5	Argentina
#Burundi	-3.36	29.31	Burundi
#Egypt	30.05	31.25	Egypt
#Australia	-35.3	149.13	Australia
#Venezuela	10.5	-66.92	Venezuela
#Saint Lucia	14.01	-60.98	Saint Lucia
#French Guiana	4	-52.5	French Guiana
#Virgin Islands	18.36	-64.93	Virgin Islands
#Moldova	47	28.83	Moldova
#Sri Lanka	6.91	79.86	Sri Lanka
#Guines	9.51	-13.71	Guines
#Denmark	55.75	12.41	Denmark
#Senegal	14.63	-17.45	Senegal
#Syria	33.5	36.3	Syria
#Tanzania	-6.85	39.3	Tanzania
#Bangladesh	23.71	90.41	Bangladesh
#Djibouti	11.55	43.16	Djibouti
#Quatar	25.25	51.6	Quatar
#Isle of Man	54.15	-4.48	Isle of Man
#Ireland	53.33	-6.25	Ireland
#Tajikistan	38.63	68.85	Tajikistan
#Martinique	14.6	-61.08	Martinique
#Sierra Leone	8.5	-13.28	Sierra Leone
#Tuvalu	-8.51	179.21	Tuvalu
#Botswana	-24.75	25.91	Botswana
#Guyana	6.76	-58.16	Guyana
#Cayman Islands	19.33	-81.38	Cayman Islands
#Gibraltar	36.15	-5.35	Gibraltar
#Greenland	64.25	-51.58	Greenland
#Guatemala	14.63	-90.36	Guatemala
#Guam	13.46	144.75	Guam
#Bermuda	32.3	-64.8	Bermuda
#Zimbabwe	-17.83	31.05	Zimbabwe
#Finland	60.13	25	Finland
#Vietnam	10.75	106.67	Vietnam
#Solomon Islands	-9.46	159.95	Solomon Islands
#Pakistan	33.66	73.13	Pakistan
#Indonesia	-6.13	106.75	Indonesia
#Saint Helena	-15.93	-5.73	Saint Helena
#Israel	31.76	35.23	Israel
#Afghanistan	34.5	69.33	Afghanistan
#Uganda	0.31	32.58	Uganda
#Nepal	27.7	85.31	Nepal
#Sudan	15.55	32.53	Sudan
