Capital	Latitude	Longitude,	Country
Abu Dhabi	24.46	54.36	United Arab Emirates
Abuja	9.16	7.18	Nigeria
Accra	5.55	-0.25	Ghana
Adamstown	-25.06	-130.08	Pitcairn Islands
Al-Manamah	26.21	50.56	Bahrain
Algiers	36.83	3	Algeria
Alofi	-19.01	169.91	Niue
Amman	31.95	35.93	Jordan
Amsterdam	52.35	4.9	Netherlands
Andorra la Vella	42.5	1.5	Andorra
Ankara	39.92	32.83	Turkey
Antananarivo	-18.86	47.5	Madagascar
Apia	-13.8	-171.75	West Samoa
Ashgabat	37.96	58.4	Turkmenistan
Asmara	15.33	38.96	Eritrea
Astana	51.16	71.5	Kazakhstan
Asuncion	-25.26	-57.66	Paraguay
Athens	38	23.73	Greece
Avarua	-21.2	159.76	Cook Islands
Baghdad	33.35	44.42	Iraq
Banjul	13.46	-16.65	Gambia
Baku	40.36	49.88	Azerbaijan
Bamako	12.66	-7.98	Mali
Bandar Seri Begawan	4.88	114.93	Brunei
Bangkok	13.73	100.5	Thailand
Bangui	4.38	18.61	Central African Republic
Basse-Terre	16.16	-61.66	Guadeloupe
Basseterre	17.3	-62.71	Saint Kitts and Nevis
Beijing	39.92	116.43	China
Beirut	33.86	35.5	Lebanon
Belgrad	44.83	20.5	Serbia
Belmopan	17.21	-88.8	Belize
Berlin	52.53	13.42	Germany
Bern	46.95	7.43	Switzerland
Bissau	11.86	-15.65	Guiné-Bissau
Bishkek	42.88	74.76	Kyrgyzstan
Bogotá	4.63	-74.08	Colombia
Brasilia	-15.78	-47.95	Brazil
Bratislava	48.16	17.16	Slovakia
Brazzaville	4.23	15.23	Republic of Congo
Bridgetown	13.1	-59.61	Barbados
Brussels	50.83	4.33	Belgium
Bucharest	44.43	26.1	Romania
Budapest	47.5	19.05	Hungary
Buenos Aires	-34.67	-58.5	Argentina
Bujumbura	-3.36	29.31	Burundi
Cairo	30.05	31.25	Egypt
Canberra	-35.3	149.13	Australia
Caracas	10.5	-66.92	Venezuela
Castries	14.01	-60.98	Saint Lucia
Cayenne	4	-52.5	French Guiana
